,date,nu
3321,2017-02-03,9.912078044900489e-07
3322,2017-02-04,1.0046325103339259e-06
3323,2017-02-05,9.931424526077928e-07
3324,2017-02-06,9.907250921257552e-07
3325,2017-02-07,9.754762542317898e-07
3326,2017-02-08,9.63363437692215e-07
3327,2017-02-09,9.670644838065831e-07
3328,2017-02-10,9.787794331511597e-07
3329,2017-02-11,9.533026227538933e-07
3330,2017-02-12,9.567133089040187e-07
3331,2017-02-13,9.594560692868887e-07
3332,2017-02-14,9.454202899854702e-07
3333,2017-02-15,9.659054445454289e-07
3334,2017-02-16,9.654424566109356e-07
3335,2017-02-17,9.626720371792845e-07
3336,2017-02-18,9.592270212387872e-07
3337,2017-02-19,9.467640545875755e-07
3338,2017-02-20,9.334637874764251e-07
3339,2017-02-21,9.427419860539983e-07
3340,2017-02-22,9.96501038682511e-07
3341,2017-02-23,1.007557146702985e-06
3342,2017-02-24,9.70107228185833e-07
3343,2017-02-25,9.44656201713514e-07
3344,2017-02-26,9.838678472769588e-07
3345,2017-02-27,9.393415455885416e-07
3346,2017-02-28,9.336949579065748e-07
3347,2017-03-01,9.214312501972257e-07
3348,2017-03-02,9.127222512280829e-07
3349,2017-03-03,1.0031449193774048e-06
3350,2017-03-04,1.021267996792963e-06
3351,2017-03-05,1.0047963480844928e-06
3352,2017-03-06,1.0059348440572926e-06
3353,2017-03-07,9.965007999584433e-07
3354,2017-03-08,9.695224722449395e-07
3355,2017-03-09,9.601236856818109e-07
3356,2017-03-10,9.414615356824059e-07
3357,2017-03-11,9.64497172316578e-07
3358,2017-03-12,9.521430305214208e-07
3359,2017-03-13,9.563599656835092e-07
3360,2017-03-14,1.016794986819489e-06
3361,2017-03-15,1.159231008762543e-06
3362,2017-03-16,1.1837528688619656e-06
3363,2017-03-17,1.0847762355323944e-06
3364,2017-03-18,1.030088565203775e-06
3365,2017-03-19,1.0294176816961246e-06
3366,2017-03-20,1.0415522636801277e-06
3367,2017-03-21,1.0031224915257325e-06
3368,2017-03-22,9.854585543364653e-07
3369,2017-03-23,9.84007678624074e-07
3370,2017-03-24,9.797416186282106e-07
3371,2017-03-25,9.627563743844342e-07
