date,Outflows_acft
4/8/2009,7812.884368
4/9/2009,7411.607737
4/10/2009,7535.872386
4/11/2009,7092.010567
4/12/2009,7031.137749
4/13/2009,8819.318925
4/14/2009,8642.412876
4/15/2009,5201.085435
4/16/2009,7811.852962
4/17/2009,6588.525519
4/18/2009,4574.08946
4/19/2009,3354.034749
4/20/2009,5184.70194
4/21/2009,3946.200921
4/22/2009,5306.804601
4/23/2009,6881.405294
4/24/2009,7758.933875
4/25/2009,6338.647461
4/26/2009,4141.989643
4/27/2009,7440.86398
4/28/2009,10013.70748
4/29/2009,10471.31477
4/30/2009,11189.51089
5/1/2009,10348.24021
5/2/2009,8252.521387
5/3/2009,6647.990071
5/4/2009,9093.930905
5/5/2009,9641.746597
5/6/2009,10110.02498
5/7/2009,10091.87619
5/8/2009,10166.55399
5/9/2009,9241.838563
5/10/2009,8601.116948
5/11/2009,8080.455015
5/12/2009,7720.950347
5/13/2009,6308.419317
5/14/2009,5089.038988
5/15/2009,4584.641542
5/16/2009,3287.667709
5/17/2009,1770.805944
5/18/2009,1268.689494
5/19/2009,0
5/20/2009,0
5/21/2009,0
5/22/2009,0
5/23/2009,0
5/24/2009,0
5/25/2009,0
5/26/2009,0
5/27/2009,0
5/28/2009,0
5/29/2009,0
5/30/2009,0
5/31/2009,0
6/1/2009,65.5141472
6/2/2009,113.8315746
6/3/2009,50.97528257
6/4/2009,0
6/5/2009,0
6/6/2009,0
6/7/2009,0
6/8/2009,0
6/9/2009,0
6/10/2009,0
6/11/2009,0
6/12/2009,0
6/13/2009,0
6/14/2009,0
6/15/2009,0
6/16/2009,25.78516238
6/17/2009,32.50913935
6/18/2009,0
6/19/2009,10.51241236
6/20/2009,162.6448705
6/21/2009,0
6/22/2009,0
6/23/2009,0
6/24/2009,0
6/25/2009,0
6/26/2009,245.9507796
6/27/2009,67.43811699
6/28/2009,113.0580197
6/29/2009,222.1490913
6/30/2009,0
7/1/2009,0
7/2/2009,0
7/3/2009,537.5214619
7/4/2009,466.1163969
7/5/2009,325.2897408
7/6/2009,101.1571755
7/7/2009,10.51241236
7/8/2009,61.48769491
7/9/2009,0.575207469
7/10/2009,59.62322933
7/11/2009,0
7/12/2009,146.7770782
7/13/2009,150.9423736
7/14/2009,0
7/15/2009,464.1329229
7/16/2009,37.68600657
7/17/2009,449.455215
7/18/2009,354.0104448
7/19/2009,156.6944484
7/20/2009,111.4712405
7/21/2009,341.1575332
7/22/2009,336.198848
7/23/2009,287.6037344
7/24/2009,563.3066245
7/25/2009,970.6130164
7/26/2009,456.1990268
7/27/2009,374.8765916
7/28/2009,4460.57524
7/29/2009,6340.769777
7/30/2009,6064.471845
7/31/2009,3635.707896
8/1/2009,3359.409964
8/2/2009,1831.539919
8/3/2009,2515.124408
8/4/2009,2333.259675
8/5/2009,1101.502468
8/6/2009,526.453677
8/7/2009,328.4037951
8/8/2009,383.7625553
8/9/2009,388.7609099
8/10/2009,374.8765916
8/11/2009,444.2981827
8/12/2009,138.8431821
8/13/2009,130.909286
8/14/2009,198.347403
8/15/2009,43.63642865
8/16/2009,216.1986692
8/17/2009,198.347403
8/18/2009,81.32243522
8/19/2009,212.2317211
8/20/2009,705.938242
8/21/2009,267.768994
8/22/2009,309.4219486
8/23/2009,436.5427992
8/24/2009,607.3000784
8/25/2009,569.2570466
8/26/2009,572.6289524
8/27/2009,481.389147
8/28/2009,565.2900985
8/29/2009,521.4553224
8/30/2009,499.8354555
8/31/2009,353.0583773
9/1/2009,331.240163
9/2/2009,453.818858
9/3/2009,589.4488121
9/4/2009,480.0007152
9/5/2009,587.1083128
9/6/2009,0
9/7/2009,124.1654742
9/8/2009,81.32243522
9/9/2009,305.4550005
9/10/2009,394.7113319
9/11/2009,404.628702
9/12/2009,444.2981827
9/13/2009,200.330877
9/14/2009,285.6202603
9/15/2009,309.4219486
9/16/2009,339.0550507
9/17/2009,403.2402703
9/18/2009,488.9263483
9/19/2009,836.530172
9/20/2009,495.8685074
9/21/2009,753.7201313
9/22/2009,674.3811701
9/23/2009,501.8189295
9/24/2009,634.7116896
9/25/2009,690.0506149
9/26/2009,608.9265271
9/27/2009,547.4388322
9/28/2009,591.0752609
9/29/2009,556.166118
9/30/2009,656.5299039
10/1/2009,805.2904561
10/2/2009,725.9514949
10/3/2009,708.1002286
10/4/2009,641.4555012
10/5/2009,1077.105737
10/6/2009,608.1331376
10/7/2009,277.6863642
10/8/2009,355.0418513
10/9/2009,481.9841893
10/10/2009,493.8850334
10/11/2009,446.2816567
10/12/2009,640.6621116
10/13/2009,480.0007152
10/14/2009,704.1332805
10/15/2009,1394.382243
10/16/2009,1848.181266
10/17/2009,799.9945804
10/18/2009,493.3098259
10/19/2009,2187.75202
10/20/2009,2906.543174
10/21/2009,3789.942837
10/22/2009,4251.3584
10/23/2009,3058.655797
10/24/2009,1629.027221
10/25/2009,1108.761983
10/26/2009,1217.853054
10/27/2009,2724.876787
10/28/2009,2787.058698
10/29/2009,1839.215963
10/30/2009,1481.6551
10/31/2009,1858.277149
11/1/2009,1825.153133
11/2/2009,2113.173396
11/3/2009,3745.275002
11/4/2009,3847.880113
11/5/2009,2656.625446
11/6/2009,2615.746046
11/7/2009,2270.343879
11/8/2009,2180.47267
11/9/2009,4179.774823
11/10/2009,3999.972902
11/11/2009,2474.443356
11/12/2009,3456.183662
11/13/2009,3992.177849
11/14/2009,3575.787146
11/15/2009,3504.937454
11/16/2009,5063.928206
11/17/2009,6044.716444
11/18/2009,5835.459934
11/19/2009,4732.707878
11/20/2009,4710.314456
11/21/2009,3713.598921
11/22/2009,3224.513895
11/23/2009,3319.442962
11/24/2009,3256.547001
11/25/2009,1594.713119
11/26/2009,840.9929885
11/27/2009,812.8276572
11/28/2009,1289.258119
11/29/2009,1515.969201
11/30/2009,1320.993704
12/1/2009,1018.910609
12/2/2009,1205.95221
12/3/2009,1214.064619
12/4/2009,539.5049361
12/5/2009,476.0337671
12/6/2009,156.6944484
12/7/2009,208.6614679
12/8/2009,312.9922019
12/9/2009,696.1993845
12/10/2009,825.1251964
12/11/2009,827.7037126
12/12/2009,1017.522177
12/13/2009,680.3315922
12/14/2009,803.3069821
12/15/2009,624.7943194
12/16/2009,228.2978608
12/17/2009,136.8597081
12/18/2009,69.42159104
12/19/2009,168.5952925
12/20/2009,146.7770782
12/21/2009,140.8266561
12/22/2009,196.363929
12/23/2009,287.6037343
12/24/2009,281.6533122
12/25/2009,283.6367863
12/26/2009,138.8431821
12/27/2009,214.4135426
12/28/2009,365.5542637
12/29/2009,573.2239945
12/30/2009,1100.828086
12/31/2009,543.4718841
1/1/2010,323.3062669
1/2/2010,247.9342537
1/3/2010,1222.494383
1/4/2010,2375.289489
1/5/2010,3090.827746
1/6/2010,3372.381884
1/7/2010,2930.444035
1/8/2010,1370.620224
1/9/2010,653.5745275
1/10/2010,665.7133886
1/11/2010,1678.435559
1/12/2010,1342.811918
1/13/2010,876.695521
1/14/2010,769.5879234
1/15/2010,1267.439905
1/16/2010,1271.406853
1/17/2010,561.1248029
1/18/2010,388.7609097
1/19/2010,346.1162181
1/20/2010,557.3562023
1/21/2010,672.397696
1/22/2010,384.7939618
1/23/2010,283.6367862
1/24/2010,781.8061236
1/25/2010,307.4384746
1/26/2010,0
1/27/2010,202.314351
1/28/2010,1132.563671
1/29/2010,2064.796465
1/30/2010,1334.878022
1/31/2010,706.9101441
2/1/2010,418.3146728
2/2/2010,337.1905849
2/3/2010,247.9342537
2/4/2010,99.17370149
2/5/2010,23.80168836
2/6/2010,174.5457146
2/7/2010,0
2/8/2010,67.43811701
2/9/2010,248.0730969
2/10/2010,339.1740591
2/11/2010,120.9919158
2/12/2010,158.6779224
2/13/2010,886.6128912
2/14/2010,1366.613606
2/15/2010,1586.779223
2/16/2010,1739.506723
2/17/2010,1915.024341
2/18/2010,1192.365413
2/19/2010,784.2457964
2/20/2010,865.5880663
2/21/2010,2344.66465
2/22/2010,2418.648231
2/23/2010,2124.300685
2/24/2010,1969.589711
2/25/2010,993.7204887
2/26/2010,1228.206789
2/27/2010,928.9997311
2/28/2010,342.5459649
3/1/2010,254.9755865
3/2/2010,850.9103587
3/3/2010,2560.664972
3/4/2010,3887.609098
3/5/2010,3619.840104
3/6/2010,2519.012017
3/7/2010,1055.208184
3/8/2010,1252.167155
3/9/2010,2426.601962
3/10/2010,3918.352945
3/11/2010,3461.479537
3/12/2010,1105.806606
3/13/2010,0
3/14/2010,0
3/15/2010,737.8523388
3/16/2010,31.73558448
3/17/2010,47.60337671
3/18/2010,579.1744167
3/19/2010,493.8850334
3/20/2010,593.0587349
3/21/2010,624.7943193
3/22/2010,277.6863642
3/23/2010,430.4138644
3/24/2010,528.3974815
3/25/2010,600.992631
3/26/2010,654.5464299
3/27/2010,3391.740591
3/28/2010,5309.759977
3/29/2010,2110.416367
3/30/2010,1215.86958
3/31/2010,1354.712762
4/1/2010,3998.683643
4/2/2010,5040.602551
4/3/2010,5038.024035
4/4/2010,5064.602587
4/5/2010,5338.361672
4/6/2010,6147.043869
4/7/2010,6490.264215
4/8/2010,7382.966372
4/9/2010,6717.590173
4/10/2010,5088.205928
4/11/2010,6121.060359
4/12/2010,4146.154937
4/13/2010,3129.981522
4/14/2010,4964.635496
4/15/2010,6279.678777
4/16/2010,6400.670693
4/17/2010,4999.941333
4/18/2010,3500.434967
4/19/2010,1400.332665
4/20/2010,1235.704321
4/21/2010,1715.705036
4/22/2010,2632.070037
4/23/2010,3990.749747
4/24/2010,4443.259513
4/25/2010,4212.898838
4/26/2010,1263.472957
4/27/2010,0
4/28/2010,491.9015592
4/29/2010,1612.564386
4/30/2010,1676.035555
5/1/2010,1509.423737
5/2/2010,1368.59708
5/3/2010,9282.360937
5/4/2010,12676.36269
5/5/2010,13585.34917
5/6/2010,13040.231
5/7/2010,12656.2701
5/8/2010,12616.16425
5/9/2010,12317.9291
5/10/2010,13236.35691
5/11/2010,15673.86798
5/12/2010,17550.43276
5/13/2010,21161.64475
5/14/2010,21568.7528
5/15/2010,18543.75656
5/16/2010,15215.28878
5/17/2010,12839.02739
5/18/2010,10290.26326
5/19/2010,8699.893953
5/20/2010,7783.806638
5/21/2010,7246.939723
5/22/2010,9441.75291
5/23/2010,11221.56383
5/24/2010,12655.53621
5/25/2010,13222.92879
5/26/2010,14255.74355
5/27/2010,16022.42387
5/28/2010,14227.12202
5/29/2010,6481.160069
5/30/2010,3756.699812
5/31/2010,3002.979681
6/1/2010,4286.287378
6/2/2010,4242.650949
6/3/2010,4722.651664
6/4/2010,3237.029616
6/5/2010,3104.136857
6/6/2010,4121.659033
6/7/2010,4617.527541
6/8/2010,3841.989195
6/9/2010,3685.294747
6/10/2010,4727.808697
6/11/2010,6218.191083
6/12/2010,11161.98027
6/13/2010,11317.18711
6/14/2010,9366.480071
6/15/2010,10446.20399
6/16/2010,10470.79907
6/17/2010,9654.85736
6/18/2010,7833.294315
6/19/2010,4817.858417
6/20/2010,4454.88267
6/21/2010,5843.314491
6/22/2010,8136.210469
6/23/2010,9259.174126
6/24/2010,10590.22404
6/25/2010,10833.39796
6/26/2010,10639.29519
6/27/2010,10185.87303
6/28/2010,9321.851905
6/29/2010,11663.83887
6/30/2010,11060.18838
7/1/2010,4771.623639
7/2/2010,2154.766847
7/3/2010,1805.655583
7/4/2010,500.9858705
7/5/2010,408.5956501
7/6/2010,208.2647732
7/7/2010,335.207111
7/8/2010,797.3565599
7/9/2010,920.3319497
7/10/2010,1303.142437
7/11/2010,7893.61176
7/12/2010,9572.860543
7/13/2010,10134.34237
7/14/2010,10885.04762
7/15/2010,10927.98983
7/16/2010,11528.38742
7/17/2010,11327.48134
7/18/2010,12063.13202
7/19/2010,13240.52221
7/20/2010,14002.37458
7/21/2010,15629.77535
7/22/2010,13265.57348
7/23/2010,6748.234847
7/24/2010,5021.501696
7/25/2010,5318.487263
7/26/2010,6216.604304
7/27/2010,6672.327296
7/28/2010,6296.637481
7/29/2010,7143.858577
7/30/2010,7865.446429
7/31/2010,6989.821985
8/1/2010,7149.789165
8/2/2010,6958.701277
8/3/2010,6631.130541
8/4/2010,6838.820107
8/5/2010,4808.49642
8/6/2010,3480.996921
8/7/2010,1747.043925
8/8/2010,1207.935684
8/9/2010,936.199742
8/10/2010,628.7612674
8/11/2010,597.025683
8/12/2010,646.6125337
8/13/2010,557.5545498
8/14/2010,577.1909427
8/15/2010,927.4724563
8/16/2010,1091.287576
8/17/2010,874.712047
8/18/2010,446.2816567
8/19/2010,840.8343106
8/20/2010,1009.588281
8/21/2010,579.1744167
8/22/2010,412.5625982
8/23/2010,285.6202603
8/24/2010,322.0963477
8/25/2010,505.7858776
8/26/2010,791.4061378
8/27/2010,787.4391897
8/28/2010,1053.22471
8/29/2010,1120.266132
8/30/2010,543.4718842
8/31/2010,325.2897409
9/1/2010,407.8022605
9/2/2010,583.1413647
9/3/2010,1102.811561
9/4/2010,1548.10148
9/5/2010,1403.902918
9/6/2010,958.0179564
9/7/2010,261.8185719
9/8/2010,224.1325654
9/9/2010,0
9/10/2010,0
9/11/2010,430.4138644
9/12/2010,470.083345
9/13/2010,740.8275501
9/14/2010,829.0921445
9/15/2010,1748.154671
9/16/2010,2011.242666
9/17/2010,1426.117827
9/18/2010,1695.870295
9/19/2010,2198.879309
9/20/2010,1518.547717
9/21/2010,1630.752843
9/22/2010,1992.22115
9/23/2010,1129.647964
9/24/2010,180.4961367
9/25/2010,561.3231504
9/26/2010,727.9349688
9/27/2010,462.1494489
9/28/2010,87.27285731
9/29/2010,33.71905851
9/30/2010,0
10/1/2010,0
10/2/2010,849.3235793
10/3/2010,25.78516239
10/4/2010,476.033767
10/5/2010,1601.635444
10/6/2010,2803.68021
10/7/2010,2493.365698
10/8/2010,2478.410304
10/9/2010,2752.248729
10/10/2010,3748.984098
10/11/2010,4810.856754
10/12/2010,4613.818444
10/13/2010,2994.133387
10/14/2010,2612.235297
10/15/2010,1405.350854
10/16/2010,2302.257976
10/17/2010,1876.227589
10/18/2010,2116.644476
10/19/2010,3333.208272
10/20/2010,3445.849762
10/21/2010,2263.322381
10/22/2010,3334.814886
10/23/2010,3634.319465
10/24/2010,3289.988373
10/25/2010,2588.195592
10/26/2010,3140.771622
10/27/2010,3504.501089
10/28/2010,3340.368613
10/29/2010,4699.821878
10/30/2010,5797.19872
10/31/2010,5025.389305
11/1/2010,3919.999229
11/2/2010,2145.246171
11/3/2010,960.4774642
11/4/2010,205.8846043
11/5/2010,188.4300328
11/6/2010,1187.148876
11/7/2010,2462.423503
11/8/2010,2130.211438
11/9/2010,1706.759568
11/10/2010,1454.54101
11/11/2010,2345.061345
11/12/2010,3471.634925
11/13/2010,4824.066691
11/14/2010,3382.438097
11/15/2010,3335.390093
11/16/2010,3356.692605
11/17/2010,3021.564833
11/18/2010,3902.088459
11/19/2010,4648.925935
11/20/2010,5466.692442
11/21/2010,4439.213226
11/22/2010,3294.074329
11/23/2010,3475.165508
11/24/2010,3443.608437
11/25/2010,2555.269923
11/26/2010,3277.670999
11/27/2010,4625.897801
11/28/2010,5299.683929
11/29/2010,3157.095613
11/30/2010,2754.886749
12/1/2010,3889.592572
12/2/2010,2016.875732
12/3/2010,4015.086974
12/4/2010,6642.138821
12/5/2010,4859.114677
12/6/2010,6072.584254
12/7/2010,9436.714886
12/8/2010,7997.446627
12/9/2010,3634.97401
12/10/2010,3862.776003
12/11/2010,3645.010389
12/12/2010,4273.513805
12/13/2010,8345.288467
12/14/2010,9879.307282
12/15/2010,6316.730073
12/16/2010,1743.334829
12/17/2010,947.6443872
12/18/2010,596.4306407
12/19/2010,341.1575332
12/20/2010,351.0749033
12/21/2010,661.6671016
12/22/2010,814.8111314
12/23/2010,519.6701958
12/24/2010,438.3477606
12/25/2010,662.4803258
12/26/2010,2865.60427
12/27/2010,3891.675219
12/28/2010,4802.089799
12/29/2010,3604.428511
12/30/2010,2033.497245
12/31/2010,1078.890864
1/1/2011,1287.29448
1/2/2011,1181.277793
1/3/2011,2604.916278
1/4/2011,3730.438616
1/5/2011,2456.750768
1/6/2011,857.0591282
1/7/2011,0
1/8/2011,180.4961367
1/9/2011,211.636679
1/10/2011,212.2317211
1/11/2011,448.2651307
1/12/2011,513.9974601
1/13/2011,483.9676633
1/14/2011,500.4304977
1/15/2011,721.5481826
1/16/2011,392.7278579
1/17/2011,281.6533123
1/18/2011,255.8681499
1/19/2011,241.9838317
1/20/2011,234.0499355
1/21/2011,359.0087994
1/22/2011,600.992631
1/23/2011,343.1410072
1/24/2011,345.1244812
1/25/2011,261.8185719
1/26/2011,9.719022749
1/27/2011,75.37201313
1/28/2011,119.0084418
1/29/2011,182.4796107
1/30/2011,200.330877
1/31/2011,186.4465588
2/1/2011,569.2570466
