date,INDUST_cmd
3/29/2009,80736.86016
3/30/2009,46484.85888
3/31/2009,398791.1578
4/1/2009,205512.0077
4/2/2009,261783.1526
4/3/2009,269122.8672
4/4/2009,349859.7274
4/5/2009,364539.1565
4/6/2009,256890.0096
4/7/2009,330287.1552
4/8/2009,746204.3136
4/9/2009,699719.4547
4/10/2009,584730.5933
4/11/2009,535799.1629
4/12/2009,472188.3034
4/13/2009,435489.7306
4/14/2009,163920.2918
4/15/2009,134561.4336
4/16/2009,618982.5946
4/17/2009,425703.4445
4/18/2009,533352.5914
4/19/2009,364539.1565
4/20/2009,428150.016
4/21/2009,117435.433
4/22/2009,217744.8653
4/23/2009,435489.7306
4/24/2009,540692.3059
4/25/2009,484421.161
4/26/2009,357199.4419
4/27/2009,530906.0198
4/28/2009,499100.5901
4/29/2009,579837.4502
4/30/2009,467295.1603
5/1/2009,496654.0186
5/2/2009,308268.0115
5/3/2009,163920.2918
5/4/2009,418363.7299
5/5/2009,579837.4502
5/6/2009,376772.0141
5/7/2009,322947.4406
5/8/2009,420810.3014
5/9/2009,384111.7286
5/10/2009,384111.7286
5/11/2009,464848.5888
5/12/2009,464848.5888
5/13/2009,278909.1533
5/14/2009,291142.0109
5/15/2009,281355.7248
5/16/2009,227531.1514
5/17/2009,144347.7197
5/18/2009,56271.14496
5/19/2009,0
5/20/2009,0
5/21/2009,0
5/22/2009,0
5/23/2009,0
5/24/2009,0
5/25/2009,0
5/26/2009,0
5/27/2009,0
5/28/2009,0
5/29/2009,0
5/30/2009,0
5/31/2009,0
6/1/2009,0
6/2/2009,0
6/3/2009,0
6/4/2009,0
6/5/2009,0
6/6/2009,0
6/7/2009,0
6/8/2009,0
6/9/2009,0
6/10/2009,0
6/11/2009,0
6/12/2009,0
6/13/2009,0
6/14/2009,0
6/15/2009,0
6/16/2009,0
6/17/2009,0
6/18/2009,0
6/19/2009,0
6/20/2009,0
6/21/2009,0
6/22/2009,0
6/23/2009,0
6/24/2009,0
6/25/2009,0
6/26/2009,0
6/27/2009,0
6/28/2009,0
6/29/2009,0
6/30/2009,0
7/1/2009,0
7/2/2009,0
7/3/2009,0
7/4/2009,0
7/5/2009,0
7/6/2009,0
7/7/2009,12966.82906
7/8/2009,31805.42976
7/9/2009,709.5057408
7/10/2009,146.7942912
7/11/2009,0
7/12/2009,0
7/13/2009,17370.65779
7/14/2009,0
7/15/2009,0
7/16/2009,0
7/17/2009,21040.51507
7/18/2009,8807.657472
7/19/2009,0
7/20/2009,0
7/21/2009,0
7/22/2009,6116.4288
7/23/2009,24465.7152
7/24/2009,117435.433
7/25/2009,110095.7184
7/26/2009,0
7/27/2009,0
7/28/2009,0
7/29/2009,61164.288
7/30/2009,3669.85728
7/31/2009,0
8/1/2009,23731.74374
8/2/2009,15658.05773
8/3/2009,132114.8621
8/4/2009,166366.8634
8/5/2009,129668.2906
8/6/2009,85630.0032
8/7/2009,0
8/8/2009,0
8/9/2009,0
8/10/2009,0
8/11/2009,0
8/12/2009,0
8/13/2009,0
8/14/2009,0
8/15/2009,0
8/16/2009,0
8/17/2009,0
8/18/2009,0
8/19/2009,0
8/20/2009,36698.5728
8/21/2009,0
8/22/2009,0
8/23/2009,0
8/24/2009,0
8/25/2009,0
8/26/2009,0
8/27/2009,0
8/28/2009,58717.71648
8/29/2009,16881.34349
8/30/2009,0
8/31/2009,0
9/1/2009,0
9/2/2009,0
9/3/2009,0
9/4/2009,0
9/5/2009,0
9/6/2009,0
9/7/2009,0
9/8/2009,0
9/9/2009,0
9/10/2009,0
9/11/2009,0
9/12/2009,0
9/13/2009,0
9/14/2009,0
9/15/2009,0
9/16/2009,2299.777229
9/17/2009,0
9/18/2009,18349.2864
9/19/2009,34252.00128
9/20/2009,24465.7152
9/21/2009,134561.4336
9/22/2009,114988.8614
9/23/2009,19572.57216
9/24/2009,26912.28672
9/25/2009,4648.485888
9/26/2009,112542.2899
9/27/2009,44038.28736
9/28/2009,0
9/29/2009,5871.771648
9/30/2009,122328.576
10/1/2009,119882.0045
10/2/2009,137008.0051
10/3/2009,100309.4323
10/4/2009,46484.85888
10/5/2009,205512.0077
10/6/2009,16147.37203
10/7/2009,0
10/8/2009,31805.42976
10/9/2009,68504.00256
10/10/2009,112542.2899
10/11/2009,66057.43104
10/12/2009,146794.2912
10/13/2009,190832.5786
10/14/2009,178599.721
10/15/2009,183492.864
10/16/2009,92969.71776
10/17/2009,44038.28736
10/18/2009,83183.43168
10/19/2009,90523.14624
10/20/2009,242210.5805
10/21/2009,232424.2944
10/22/2009,107649.1469
10/23/2009,161473.7203
10/24/2009,119882.0045
10/25/2009,168813.4349
10/26/2009,256890.0096
10/27/2009,185939.4355
10/28/2009,190832.5786
10/29/2009,210405.1507
10/30/2009,141901.1482
10/31/2009,137008.0051
11/1/2009,63610.85952
11/2/2009,97862.8608
11/3/2009,190832.5786
11/4/2009,122328.576
11/5/2009,51378.00192
11/6/2009,0
11/7/2009,225084.5798
11/8/2009,168813.4349
11/9/2009,90523.14624
11/10/2009,26912.28672
11/11/2009,26912.28672
11/12/2009,119882.0045
11/13/2009,212851.7222
11/14/2009,298481.7254
11/15/2009,222638.0083
11/16/2009,181046.2925
11/17/2009,168813.4349
11/18/2009,171260.0064
11/19/2009,97862.8608
11/20/2009,66057.43104
11/21/2009,44038.28736
11/22/2009,66057.43104
11/23/2009,100309.4323
11/24/2009,107649.1469
11/25/2009,31805.42976
11/26/2009,31805.42976
11/27/2009,13945.45766
11/28/2009,0
11/29/2009,8073.686016
11/30/2009,0
12/1/2009,6116.4288
12/2/2009,24465.7152
12/3/2009,63610.85952
12/4/2009,39145.14432
12/5/2009,0
12/6/2009,0
12/7/2009,17615.31494
12/8/2009,6850.400256
12/9/2009,63610.85952
12/10/2009,63610.85952
12/11/2009,8073.686016
12/12/2009,61164.288
12/13/2009,58717.71648
12/14/2009,163920.2918
12/15/2009,90523.14624
12/16/2009,22263.80083
12/17/2009,0
12/18/2009,0
12/19/2009,0
12/20/2009,0
12/21/2009,0
12/22/2009,0
12/23/2009,0
12/24/2009,31805.42976
12/25/2009,48931.4304
12/26/2009,41591.71584
