,date,ShearStress
164,2008-06-13,14.485786889898225
165,2008-06-14,14.339710994754151
166,2008-06-15,11.829469839500987
167,2008-06-16,12.5938820427087
168,2008-06-17,14.449820736671185
169,2008-06-18,15.69272257877794
170,2008-06-19,14.92685393380323
171,2008-06-20,12.709784302851212
172,2008-06-21,12.376168620814994
173,2008-06-22,12.160491571615108
174,2008-06-23,12.198998362820372
175,2008-06-24,12.0816017325172
176,2008-06-25,15.773298137622344
177,2008-06-26,15.294265623001806
178,2008-06-27,12.12150731110171
179,2008-06-28,12.927279250980838
180,2008-06-29,12.27489021642944
181,2008-06-30,11.5440244032945
182,2008-07-01,14.12169896265091
183,2008-07-02,11.076249158065416
184,2008-07-03,9.888350039819196
185,2008-07-04,11.328530321229
186,2008-07-05,12.576639289961149
