date,SLTRIB_cmd,SLTRIB_cfs
2020-12-13,695389.0231296,284.22953225307225
2020-12-14,753323.8367232,307.9094932837613
2020-12-15,216766.236672,88.59985419421666
2020-12-16,549108.5119488,224.43963064729104
2020-12-17,385946.65728000004,157.7497403965878
2020-12-18,212411.3393664,86.81985712349764
2020-12-19,128860.9219584,52.669913322905096
2020-12-20,493424.5441536,201.6796681025916
2020-12-21,462402.01728,188.99968896960436
2020-12-22,242039.3204736,98.92983719451303
2020-12-23,0.0,0.0
2020-12-24,345969.6786432,141.40976728672888
2020-12-25,494378.70704640006,202.06966746078288
2020-12-26,8685.328895999999,3.549994157894685
2020-12-27,546368.3518464,223.31963249043412
2020-12-28,11498.886144,4.699992265381696
2020-12-29,0.0,0.0
2020-12-30,0.0,0.0
2020-12-31,443587.8822912,181.30970162475646
2021-01-01,96517.246464,39.449935078576154
2021-01-02,0.0,0.0
2021-01-03,0.0,0.0
2021-01-04,363584.9935872,148.6097554379519
2021-01-05,1003.0943232,0.4099993252779778
2021-01-06,244.657152,0.09999983543365311
2021-01-07,0.0,0.0
2021-01-08,151100.2570752,61.75989836382416
2021-01-09,293.5885824,0.11999980252038374
2021-01-10,0.0,0.0
2021-01-11,0.0,0.0
2021-01-12,140457.67096319998,57.40990552246025
2021-01-13,299925.2026368,122.58979825811535
2021-01-14,195.7257216,0.07999986834692249
2021-01-15,0.0,0.0
2021-01-16,171064.2806784,69.91988493521026
2021-01-17,71415.4226688,29.189951963083345
2021-01-18,0.0,0.0
2021-01-19,0.0,0.0
2021-01-20,0.0,0.0
2021-01-21,0.0,0.0
2021-01-22,0.0,0.0
2021-01-23,64418.2281216,26.329956669680865
2021-01-24,0.0,0.0
2021-01-25,0.0,0.0
2021-01-26,222515.679744,90.94985032690751
2021-01-27,0.0,0.0
2021-01-28,135735.7879296,55.47990869859074
2021-01-29,0.0,0.0
2021-01-30,0.0,0.0
2021-01-31,0.0,0.0
2021-02-01,263618.08128,107.74982267976122
2021-02-02,73.3971456,0.029999950630095935
2021-02-03,0.0,0.0
2021-02-04,0.0,0.0
2021-02-05,0.0,0.0
2021-02-06,177107.3123328,72.38988087042149
2021-02-07,198270.1559808,81.03986663543247
2021-02-08,178893.3095424,73.11987966908715
2021-02-09,160984.406016,65.79989171534375
2021-02-10,3523.0629888,1.4399976302446047
2021-02-11,1100.957184,0.44999925945143904
2021-02-12,0.0,0.0
2021-02-13,574944.3072,234.99961326908485
2021-02-14,542967.6174336,221.92963477790636
2021-02-15,96052.3978752,39.25993539125221
2021-02-16,115013.3271552,47.009922637360326
2021-02-17,296084.0853504,121.01980084180701
2021-02-18,1109177.6643072,453.3592539220097
2021-02-19,1116908.8303104,456.51924872171327
2021-02-20,558429.94944,228.24962437731324
2021-02-21,13480.6090752,5.509990932394286
2021-02-22,50913.153331199996,20.80996575374321
2021-02-23,501033.3815808,204.7896629845782
2021-02-24,595055.1250944,243.21959974173112
2021-02-25,534673.7399808001,218.53964035670555
2021-02-26,4721.8830336,1.929996823869505
2021-02-27,3131.6115456,1.2799978935507599
2021-02-28,96639.57504,39.49993499629298
2021-03-01,452371.074048,184.8996957168246
2021-03-02,213805.8851328,87.38985618546945
2021-03-03,1223.28576,0.4999991771682656
2021-03-04,48.9314304,0.019999967086730623
2021-03-05,464.8485888,0.18999968732394093
2021-03-06,237146.1774336,96.92984048583997
2021-03-07,341345.65847039997,139.5197703970328
2021-03-08,5651.5802112,2.309996198517387
2021-03-09,2373.1743744,0.9699984037064352
2021-03-10,1492.4086272,0.609998996145284
2021-03-11,685.0400256,0.2799995392142287
2021-03-12,538.2457344,0.21999963795403682
2021-03-13,489.314304,0.19999967086730622
2021-03-14,440.3828736,0.1799997037805756
2021-03-15,415.9171584,0.1699997202372103
2021-03-16,440.3828736,0.1799997037805756
2021-03-17,660.5743104000001,0.2699995556708634
2021-03-18,905.2314624,0.3699993911045166
2021-03-19,366.985728,0.14999975315047967
2021-03-20,171.2600064,0.06999988480355718
2021-03-21,293.5885824,0.11999980252038374
2021-03-22,48.9314304,0.019999967086730623
2021-03-23,97.8628608,0.039999934173461246
2021-03-24,97.8628608,0.039999934173461246
2021-03-25,318.05429760000004,0.12999978606374907
2021-03-26,0.0,0.0
2021-03-27,0.0,0.0
2021-03-28,0.0,0.0
2021-03-29,0.0,0.0
2021-03-30,0.0,0.0
2021-03-31,0.0,0.0
2021-04-01,0.0,0.0
2021-04-02,0.0,0.0
2021-04-03,0.0,0.0
2021-04-04,0.0,0.0
2021-04-05,0.0,0.0
2021-04-06,0.0,0.0
2021-04-07,0.0,0.0
2021-04-08,0.0,0.0
2021-04-09,0.0,0.0
2021-04-10,9712.8889344,3.9699934667160286
2021-04-11,53384.1905664,21.81996409162311
2021-04-12,25395.4123776,10.379982918013194
2021-04-13,6434.483097599999,2.6299956719050765
2021-04-14,4232.5687296,1.7299971530021987
2021-04-15,856.300032,0.3499994240177859
2021-04-16,636.1085952,0.2599995721274981
2021-04-17,24.4657152,0.009999983543365312
2021-04-18,535848.0943104001,219.01963956678708
2021-04-19,1158818.6004479998,473.6492205314979
2021-04-20,232742.34869759995,95.1298434480342
2021-04-21,24.4657152,0.009999983543365312
2021-04-22,0.0,0.0
2021-04-23,135637.9250688,55.43990876441728
2021-04-24,0.0,0.0
2021-04-25,301393.1455488,123.18979727071728
2021-04-26,342.5200128,0.13999976960711435
2021-04-27,0.0,0.0
2021-04-28,0.0,0.0
2021-04-29,0.0,0.0
2021-04-30,0.0,0.0
2021-05-01,0.0,0.0
2021-05-02,97.8628608,0.039999934173461246
2021-05-03,0.0,0.0
2021-05-04,0.0,0.0
2021-05-05,0.0,0.0
2021-05-06,0.0,0.0
2021-05-07,0.0,0.0
2021-05-08,0.0,0.0
2021-05-09,0.0,0.0
2021-05-10,0.0,0.0
2021-05-11,0.0,0.0
2021-05-12,0.0,0.0
2021-05-13,0.0,0.0
2021-05-14,0.0,0.0
2021-05-15,0.0,0.0
2021-05-16,0.0,0.0
2021-05-17,0.0,0.0
2021-05-18,0.0,0.0
2021-05-19,538.2457344,0.21999963795403682
2021-05-20,0.0,0.0
2021-05-21,24.4657152,0.009999983543365312
2021-05-22,0.0,0.0
2021-05-23,0.0,0.0
2021-05-24,73.3971456,0.029999950630095935
2021-05-25,24.4657152,0.009999983543365312
2021-05-26,0.0,0.0
2021-05-27,0.0,0.0
2021-05-28,0.0,0.0
2021-05-29,0.0,0.0
2021-05-30,0.0,0.0
2021-05-31,0.0,0.0
2021-06-01,146.7942912,0.05999990126019187
2021-06-02,22777.5808512,9.309984678873105
2021-06-03,26496.3695616,10.829982177464633
2021-06-04,14532.6348288,5.939990224758995
2021-06-05,7853.4945792,3.209994717420265
2021-06-06,4061.3087232,1.6599972681986417
2021-06-07,1859.3943552,0.7599987492957637
2021-06-08,415.9171584,0.1699997202372103
2021-06-09,146.7942912,0.05999990126019187
2021-06-10,636.1085952,0.2599995721274981
2021-06-11,1443.4771968,0.5899990290585534
2021-06-12,391.4514432,0.15999973669384498
2021-06-13,164164.948992,67.09988957598124
2021-06-14,154036.1428992,62.959896389028
2021-06-15,122.328576,0.049999917716826554
2021-06-16,3058.2144,1.2499979429206638
2021-06-17,759391.3340928,310.3894892025159
2021-06-18,324929.1635712,132.8097814394347
2021-06-19,1541.3400576,0.6299989632320145
2021-06-20,602933.0853888,246.43959444269476
2021-06-21,109043.6926464,44.569926652779195
2021-06-22,4208.1030144,1.7199971694588334
2021-06-23,863590.8151296,352.9794191137088
2021-06-24,196215.035904,80.1998680177898
2021-06-25,423697.2558336,173.17971500400046
2021-06-26,478598.3207424,195.61967807531224
2021-06-27,1089972.0778752,445.509266840468
2021-06-28,210209.4249984,85.91985860459476
2021-06-29,941244.9951744,384.71936688035026
2021-06-30,648855.2328192,265.20956355359147
2021-07-01,2247224.8725504,918.5184884251906
2021-07-02,2654040.7848960003,1084.798214784269
2021-07-03,1235640.946176,505.04916885766505
2021-07-04,858526.4120832,350.9094225202321
2021-07-05,908974.7168256,371.5293885866514
2021-07-06,2479061.9897856,1013.2783324821203
2021-07-07,1997552.2489343998,816.4686563651475
2021-07-08,1190403.8387712,486.55919928598263
2021-07-09,1471490.440704,601.4490102157066
2021-07-10,1549364.8121856,633.2789578342384
2021-07-11,1861180.3524096,760.7287480944293
2021-07-12,2490487.4787839996,1017.9483247968717
2021-07-13,2462718.8920320002,1006.5983434751523
2021-07-14,2094387.549696,856.0485912297875
2021-07-15,1863651.3896448,761.7387464323092
2021-07-16,1232068.9517568,503.5891712603337
2021-07-17,1094204.6466048,447.23926399347016
2021-07-18,1724221.2787199998,704.7488402186702
2021-07-19,1697994.0320256,694.0288578601827
2021-07-20,1829497.2512256,747.7787694057713
2021-07-21,1300842.077184,531.6991250007336
2021-07-22,1283544.8165376,524.6291366355744
2021-07-23,889573.4046720001,363.59940163676276
2021-07-24,1299863.448576,531.2991256589991
2021-07-25,785496.2522112001,321.0594716432867
2021-07-26,577072.8244224,235.86961183735758
2021-07-27,1356990.893568,554.649087232757
2021-07-28,1099709.4325248,449.48926029072743
2021-07-29,1234588.9204223999,504.6191695653003
2021-07-30,1142181.9141119998,466.8492317220095
2021-07-31,641197.4639616,262.07956870451807
2021-08-01,972805.7677823999,397.6193456512915
2021-08-02,612352.3857408001,250.28958810689042
2021-08-03,1229279.860224,502.4491731363901
2021-08-04,3166817.7097728,1294.3878698696626
2021-08-05,2755500.1058304003,1126.2681465386052
2021-08-06,2558771.2899072003,1045.8582788664046
2021-08-07,2129006.536704,870.1985679436494
2021-08-08,1839405.8658816,751.8287627408342
2021-08-09,1819025.9251199998,743.4987764492108
2021-08-10,2004891.9634944,819.4686514281572
2021-08-11,1493582.9815296,610.4789953553656
2021-08-12,1239261.8720256002,506.5291664220832
2021-08-13,1184580.9985536,484.1792032026616
2021-08-14,1874538.6329087997,766.1887391091067
2021-08-15,2130327.6853248,870.7385670549912
2021-08-16,1789128.8211456002,731.2787965592186
2021-08-17,1335632.3241984,545.919101599399
2021-08-18,1403133.2324352,573.509056195544
2021-08-19,1073800.240128,438.89927771830355
2021-08-20,772284.7660032,315.6594805298694
2021-08-21,666935.3963520001,272.59955139213844
2021-08-22,1210343.3966591998,494.7091858738253
2021-08-23,546857.6661504001,223.51963216130147
2021-08-24,535750.2314496,218.97963963261358
2021-08-25,310812.4459008,127.03979093491292
2021-08-26,2560239.2328192,1046.4582778790063
2021-08-27,4172407.5359231997,1705.4071934690635
2021-08-28,4749162.306048,1941.1468055203575
2021-08-29,3083267.2923648,1260.23792606907
2021-08-30,2374984.8373248,970.7384024886443
2021-08-31,1827075.1454208,746.7887710349781
2021-09-01,1256045.3526528,513.3891551328318
2021-09-02,1266100.7616,517.4991483691549
2021-09-03,1761140.0429568,719.8388153856085
2021-09-04,2415035.2131072003,987.1083755491334
2021-09-05,3527540.2146816,1441.8276272330409
2021-09-06,2219945.6001024,907.3685067743382
2021-09-07,2499784.45056,1021.7483185433506
2021-09-08,1606516.7228927999,656.6389193915397
2021-09-09,1842586.4088576,753.1287606014718
2021-09-10,1940106.7496448,792.9886950053259
2021-09-11,2353014.6250752,961.7584172667023
2021-09-12,1530159.2257536,625.4289707526967
2021-09-13,1892423.07072,773.4987270793068
