date,Data_S65E,TP_mg/m3
4/8/2017,0.138571429,138.5714286
4/9/2017,0.141285714,141.2857143
4/10/2017,0.144,144
4/11/2017,0.146714286,146.7142857
4/12/2017,0.149428571,149.4285714
4/13/2017,0.152142857,152.1428571
4/14/2017,0.154857143,154.8571429
4/15/2017,0.157571429,157.5714286
4/16/2017,0.160285714,160.2857143
4/17/2017,0.163,163
4/18/2017,0.156285714,156.2857143
4/19/2017,0.149571429,149.5714286
4/20/2017,0.142857143,142.8571429
4/21/2017,0.136142857,136.1428571
4/22/2017,0.129428571,129.4285714
4/23/2017,0.122714286,122.7142857
4/24/2017,0.116,116
4/25/2017,0.114428571,114.4285714
4/26/2017,0.112857143,112.8571429
4/27/2017,0.111285714,111.2857143
4/28/2017,0.109714286,109.7142857
4/29/2017,0.108142857,108.1428571
4/30/2017,0.106571429,106.5714286
5/1/2017,0.105,105
5/2/2017,0.108571429,108.5714286
5/3/2017,0.112142857,112.1428571
5/4/2017,0.115714286,115.7142857
5/5/2017,0.119285714,119.2857143
5/6/2017,0.122857143,122.8571429
5/7/2017,0.126428571,126.4285714
5/8/2017,0.13,130
5/9/2017,0.12775,127.75
5/10/2017,0.1255,125.5
5/11/2017,0.12325,123.25
5/12/2017,0.121,121
5/13/2017,0.11875,118.75
5/14/2017,0.1165,116.5
5/15/2017,0.11425,114.25
5/16/2017,0.112,112
5/17/2017,0.10975,109.75
5/18/2017,0.1075,107.5
5/19/2017,0.10525,105.25
5/20/2017,0.103,103
5/21/2017,0.10075,100.75
5/22/2017,0.0985,98.5
5/23/2017,0.09625,96.25
5/24/2017,0.094,94
5/25/2017,0.09175,91.75
5/26/2017,0.0895,89.5
5/27/2017,0.08725,87.25
5/28/2017,0.085,85
5/29/2017,0.08275,82.75
5/30/2017,0.0805,80.5
5/31/2017,0.07825,78.25
6/1/2017,0.076,76
6/2/2017,0.07375,73.75
6/3/2017,0.0715,71.5
6/4/2017,0.06925,69.25
6/5/2017,0.067,67
6/6/2017,0.068285714,68.28571429
6/7/2017,0.069571429,69.57142857
6/8/2017,0.070857143,70.85714286
6/9/2017,0.072142857,72.14285714
6/10/2017,0.073428571,73.42857143
6/11/2017,0.074714286,74.71428571
6/12/2017,0.076,76
6/13/2017,0.090285714,90.28571429
6/14/2017,0.104571429,104.5714286
6/15/2017,0.118857143,118.8571429
6/16/2017,0.133142857,133.1428571
6/17/2017,0.147428571,147.4285714
6/18/2017,0.161714286,161.7142857
6/19/2017,0.176,176
6/20/2017,0.1903125,190.3125
6/21/2017,0.204625,204.625
6/22/2017,0.2189375,218.9375
6/23/2017,0.23325,233.25
6/24/2017,0.2475625,247.5625
6/25/2017,0.261875,261.875
6/26/2017,0.2761875,276.1875
6/27/2017,0.2905,290.5
6/28/2017,0.3048125,304.8125
6/29/2017,0.319125,319.125
6/30/2017,0.3334375,333.4375
7/1/2017,0.34775,347.75
7/2/2017,0.3620625,362.0625
7/3/2017,0.376375,376.375
7/4/2017,0.3906875,390.6875
7/5/2017,0.405,405
7/6/2017,0.387416667,387.4166667
7/7/2017,0.369833333,369.8333333
7/8/2017,0.35225,352.25
7/9/2017,0.334666667,334.6666667
7/10/2017,0.317083333,317.0833333
7/11/2017,0.2995,299.5
7/12/2017,0.281916667,281.9166667
7/13/2017,0.264333333,264.3333333
7/14/2017,0.24675,246.75
7/15/2017,0.229166667,229.1666667
7/16/2017,0.211583333,211.5833333
7/17/2017,0.194,194
7/18/2017,0.197466667,197.4666667
7/19/2017,0.200933333,200.9333333
7/20/2017,0.2044,204.4
7/21/2017,0.207866667,207.8666667
7/22/2017,0.211333333,211.3333333
7/23/2017,0.2148,214.8
7/24/2017,0.218266667,218.2666667
7/25/2017,0.221733333,221.7333333
7/26/2017,0.2252,225.2
7/27/2017,0.228666667,228.6666667
7/28/2017,0.232133333,232.1333333
7/29/2017,0.2356,235.6
7/30/2017,0.239066667,239.0666667
7/31/2017,0.242533333,242.5333333
8/1/2017,0.246,246
8/2/2017,0.248230769,248.2307692
8/3/2017,0.250461538,250.4615385
8/4/2017,0.252692308,252.6923077
8/5/2017,0.254923077,254.9230769
8/6/2017,0.257153846,257.1538462
8/7/2017,0.259384615,259.3846154
8/8/2017,0.261615385,261.6153846
8/9/2017,0.263846154,263.8461538
8/10/2017,0.266076923,266.0769231
8/11/2017,0.268307692,268.3076923
8/12/2017,0.270538462,270.5384615
8/13/2017,0.272769231,272.7692308
8/14/2017,0.275,275
8/15/2017,0.267428571,267.4285714
8/16/2017,0.259857143,259.8571429
8/17/2017,0.252285714,252.2857143
8/18/2017,0.244714286,244.7142857
8/19/2017,0.237142857,237.1428571
8/20/2017,0.229571429,229.5714286
8/21/2017,0.222,222
8/22/2017,0.214428571,214.4285714
8/23/2017,0.206857143,206.8571429
8/24/2017,0.199285714,199.2857143
8/25/2017,0.191714286,191.7142857
8/26/2017,0.184142857,184.1428571
8/27/2017,0.176571429,176.5714286
8/28/2017,0.169,169
8/29/2017,0.1763125,176.3125
8/30/2017,0.183625,183.625
8/31/2017,0.1909375,190.9375
9/1/2017,0.19825,198.25
9/2/2017,0.2055625,205.5625
9/3/2017,0.212875,212.875
9/4/2017,0.2201875,220.1875
9/5/2017,0.2275,227.5
9/6/2017,0.2348125,234.8125
9/7/2017,0.242125,242.125
9/8/2017,0.2494375,249.4375
9/9/2017,0.25675,256.75
9/10/2017,0.2640625,264.0625
9/11/2017,0.271375,271.375
9/12/2017,0.2786875,278.6875
9/13/2017,0.286,286
9/14/2017,0.296,296
9/15/2017,0.306,306
9/16/2017,0.316,316
9/17/2017,0.326,326
9/18/2017,0.336,336
9/19/2017,0.319642857,319.6428571
9/20/2017,0.303285714,303.2857143
9/21/2017,0.286928571,286.9285714
9/22/2017,0.270571429,270.5714286
9/23/2017,0.254214286,254.2142857
9/24/2017,0.237857143,237.8571429
9/25/2017,0.2215,221.5
9/26/2017,0.216571429,216.5714286
9/27/2017,0.211642857,211.6428571
9/28/2017,0.206714286,206.7142857
9/29/2017,0.201785714,201.7857143
9/30/2017,0.196857143,196.8571429
10/1/2017,0.191928571,191.9285714
10/2/2017,0.187,187
10/3/2017,0.185,185
10/4/2017,0.183,183
10/5/2017,0.181,181
10/6/2017,0.179,179
10/7/2017,0.177,177
10/8/2017,0.175,175
10/9/2017,0.173,173
10/10/2017,0.178428571,178.4285714
10/11/2017,0.183857143,183.8571429
10/12/2017,0.189285714,189.2857143
10/13/2017,0.194714286,194.7142857
10/14/2017,0.200142857,200.1428571
10/15/2017,0.205571429,205.5714286
10/16/2017,0.211,211
10/17/2017,0.202285714,202.2857143
10/18/2017,0.193571429,193.5714286
10/19/2017,0.184857143,184.8571429
10/20/2017,0.176142857,176.1428571
10/21/2017,0.167428571,167.4285714
10/22/2017,0.158714286,158.7142857
10/23/2017,0.15,150
10/24/2017,0.149,149
10/25/2017,0.148,148
10/26/2017,0.147,147
10/27/2017,0.146,146
10/28/2017,0.145,145
10/29/2017,0.144,144
10/30/2017,0.143,143
10/31/2017,0.1425,142.5
11/1/2017,0.142,142
11/2/2017,0.1415,141.5
11/3/2017,0.141,141
11/4/2017,0.1405,140.5
11/5/2017,0.14,140
11/6/2017,0.1395,139.5
11/7/2017,0.138142857,138.1428571
11/8/2017,0.136785714,136.7857143
